# timestamp x y z q_x q_y q_z q_w
1520621180.536947727 0.23828089474337494 -0.17263570022036231 -0.007427367451235679 0.09215374256393281 -0.035181913101700324 0.9947882063611437 0.025813663179475893
1520621180.586949825 0.278349638918098 -0.19662027101256077 -0.020439175566155723 0.09884921195796303 -0.043656584251300624 0.9937039592253388 0.029586776889095577
1520621180.635982752 0.11339397723349343 -0.27123022664411556 -0.022069888867889423 0.0766693251699503 -0.0607234323221985 0.9949143355743204 0.024082030929815222
1520621180.685984850 0.1378303616412087 -0.30269868515416704 -0.038011852365024884 0.08049937983621704 -0.0695954823238105 0.9939965252222841 0.025440647242666328
1520621180.735985756 0.1647764229467668 -0.33678270949633693 -0.05727613772080193 0.0812564839009361 -0.07686176463581228 0.9933878448333351 0.0258890459172923
1520621180.785840511 0.16834004729356417 -0.36517375777782535 -0.079551537954767 0.07811429474789272 -0.08046891720081427 0.9934014793598407 0.02400856360234726
1520621180.835839510 0.19767572445460796 -0.4030165525528457 -0.10627869940950799 0.07666198850406902 -0.07941839547307815 0.9937405613596304 0.01718588629459375
1520621180.885841608 0.2307901800263592 -0.4431595669295071 -0.1373996689660625 0.07589094552567885 -0.07146149143522484 0.9945371134831538 0.005454313308602542
1520621180.941144228 -0.1557222021799588 -0.3403079694862742 -0.11849956919782659 -0.07332582379642637 0.057483428239982 -0.99523027321229 0.028908170543035388
1520621180.991142273 -0.1325311632782201 -0.37979941096304914 -0.15559888461969285 -0.07396530661021297 0.0374579127531391 -0.9954767942833184 0.046389548754467644
1520621181.041060448 -0.10420064659877235 -0.416378267254531 -0.1898537624267491 -0.0737257893260386 0.018841779587465995 -0.9951776912841952 0.06189392620030703
1520621181.092871428 -0.2803410476978018 -0.25623298596730926 -0.20646882461084723 -0.06692886095395892 -0.012278678094308862 -0.9944421226153883 0.0803406895904115
1520621181.142596245 -0.25267679411530514 -0.27415589180660205 -0.23789427874244298 -0.058513085104427785 -0.021308245795025122 -0.9939236622838755 0.09076304911642012
1520621181.192072868 -0.4604790934356327 -0.045454280092232374 -0.24164778980996143 -0.03965994014771502 -0.023691396948580214 -0.9937353987794348 0.10176327466616925
1520621181.242585659 -0.45899466788267884 -0.0044718861697457535 -0.23958876220679423 -0.03440895520556897 -0.024033621905444044 -0.9940893367131539 0.10012392048341538
1520621181.292588949 -0.41705254838264694 -0.008195145167961151 -0.25870036630148774 -0.03252364488919464 -0.018867292174441296 -0.993802870984688 0.10460445225571102
1520621181.342591047 -0.37410821257300186 -0.01132233730214937 -0.27373414425771253 -0.03130500715282393 -0.014402217109893013 -0.9938151250270003 0.10556547701331565
1520621181.392726421 -0.32439104597814494 -0.015544036504517685 -0.28653355042313605 -0.028386109626927003 -0.010712987302945785 -0.9942975628578746 0.10223412922398302
1520621181.442721605 -0.27887059193747005 -0.010248007221207799 -0.2908389469730664 -0.02678053981000308 -0.009499174414357733 -0.9946255906574167 0.09956155273154105
1520621181.492775917 -0.21896084210214667 -0.016924296749024122 -0.2944268768006034 -0.025422935116748934 -0.008343441621308793 -0.9950045904171473 0.09617653768339927
1520621181.542624474 -0.1523305851524351 -0.01203752304259993 -0.28077673756691274 -0.025002433247000404 -0.013427740308905279 -0.9949521229964228 0.09625407558559343
1520621181.592504740 -0.08774070050027105 -0.006128033246830748 -0.2626159542914313 -0.022953546842865685 -0.01842031471951565 -0.9951417361949648 0.09395079337524281
1520621181.642367363 0.045569856002658865 -0.01224950174353343 -0.17775175766358678 -0.02530942063302284 -0.02439381886384362 -0.9944092713045596 0.0995719637849616
1520621181.692475557 0.061077860780972396 -0.014557784012517578 -0.129089769524248 -0.02507400017124584 -0.020621855101077245 -0.9956753477197839 0.08704387141372985
1520621181.742319584 0.12520880749551008 -0.019841783374242215 -0.097096065653332 -0.020607188643233666 -0.016396026342372763 -0.9960780688277479 0.08446889899120794
1520621181.792287588 0.2911146561918636 -0.009916303975835195 -0.010250969161721815 -0.005212889791786645 -0.016400938462150794 -0.9956196591805055 0.09189847251654026
1520621181.842006445 0.3585740912088846 -0.009107315503329135 -0.002348488980100999 0.004124480815694981 -0.01814387145214351 -0.9960771953020676 0.08651017041883488
1520621181.891791105 0.42650091569721055 -0.00518869333248868 -0.00012275353756248874 0.010159615712396094 -0.02571532335994662 -0.9963934373057037 0.08022233134978428
